"name","mz","rt","S20","S30","S39","S49","S59","S69","S78","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S21","S22","S23","S24","S25","S26","S27","S28","S29","S31","S32","S33","S34","S35","S36","S37","S38","S40","S41","S42","S43","S44","S45","S46","S47","S48","S50","S51","S52","S53","S54","S55","S56","S57","S58","S60","S61","S62","S63","S64","S65","S66","S67","S68","S70","S71","S72","S73","S74","S75","S76","S77","S79","S80","S81","S82","S83","S84","S85","S86","S87","S1","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120","S121","S122","S123","S124","S125","S126","S127","S128","S129","S130","S131","S132","S133","S134","S135","S136","S137","S138","S139","S140","S141","S142","S143","S144","S145","S146","S147","S148","S149","S150","S151","S152","S153","S154","QC1","QC2","QC3","QC4","QC5","QC6","QC7","QC8","QC9","QC10","QC11","QC12","QC13","QC14","QC15","QC16","QC17","QC18","QC19","QC20","QC21","QC22","QC23"
1,76.07598,517.004,706899.2,777526.7,750672.7,684709.1,719189.2,716167.9,716816.7,733863.1,710741.6,676364.5,712827.6,683419.8,697796.6,637243.3,663359.5,456856.5,612643.7,667397.1,665136.9,624757.3,523566.5,650974.5,483100.5,649748.2,622461.3,629869.8,649841,625676.6,608979.7,607831.6,569755.7,679015.9,645581.1,653816.9,663860.2,678945.7,504368.7,495113.8,618979.6,628852.1,620084.1,637307.3,598242.9,574811.6,620414.7,641186.9,433376.8,612132.7,589848.2,603247,575022.1,620339.1,587139,613506.4,601990.2,562669.4,499641.5,568662.8,615225.9,558261.3,544295.6,542387.1,537930.7,467565.6,563269.6,577007.1,578829.6,580104.3,595700.3,596222.3,628559.7,348962.4,411470.6,536114.6,523119.9,575293.4,540824.9,539788.9,406000.2,589679.9,576558.6,553526.9,570387.2,505810.6,512773,558483.1,566109.8,569304.9,534352.9,408621.8,467601.1,560397,565508.3,579057.4,582024.1,576292.8,562283.6,561114.3,549012.8,495769,473129,496268.4,484115.6,505869.7,485259.2,514371.8,480117.1,522188.2,500615,519610,522012.9,509608.4,522479.3,516678.6,521205.7,511733.8,525098.6,519582.8,504383.8,505151.3,523259.7,509301.8,519774.1,477424.4,488272.1,492141.5,487972.8,486587.3,497938.4,485927,488801.4,502982.6,498278.8,490645.5,541712.6,482652.2,517738.7,476670.2,484698.4,501555,477675.8,436872.2,294417.7,462385.7,496910.4,302603.2,353464,447757,458671.9,480475.8,494695.1,471175.1,484072.3,457982.6,686045.4,711687.1,730865.6,609289.8,633877.4,648537.6,618749.8,528260.8,580397.7,612984.6,626592.4,545938,521201.7,518158.9,536152.9,500770.8,513717.4,353078.9,513034.1,299358.7,481289.7,437434,456214.8
2,83.06036,473.104,159022.8,179071.1,167932.1,175157.5,168632.9,158498.1,156410.3,153902.3,141002.9,143314.6,145377.1,136634,130655.6,148422.4,160032.4,134172.8,135326,139150.4,136869,129804,132984.1,145902.3,121647.4,131209.8,114585.8,136861.8,138303.4,130679.2,119157.9,122440.8,119551.8,123853,125886.2,119362.4,132601.3,139292.5,128809.4,129454.4,122281.3,143352.6,127245.7,119924.9,129542,112485.4,118768.3,122154.1,112943.1,108268.1,108234.8,114087.6,116736,114945.1,106796.1,115022.2,111441.6,111694.2,111993.3,121908.6,107891.8,99300.54,100042.2,99694.75,98905.48,106454.2,108988.3,102282.2,97725.44,98292.23,95725.47,96581.73,96451.38,95626.16,92846.38,97029.5,92641.32,91811.15,89988.99,96790.02,88941.42,90049.72,88106.47,83476.36,81114.79,83360.96,84338.76,87146.43,91538.49,91166.88,95228.45,92244.75,91283.78,93474.49,86012.21,93008.49,88072.35,87468.83,89493.48,84788.27,85055.66,79931.99,81203.67,79239.61,81369.3,82293.33,82107.97,87254.88,78664.06,76339.97,82050.2,82040.05,77716.3,75356.89,82928.38,79402.76,76440,78444.17,75491.99,78879.67,78168.56,75511.35,80372.24,76751.02,71766.93,73060.08,73593.44,74840.16,76292.38,71762.13,73654.7,72372.14,70269.44,72339.2,70198.56,70542.76,69575.74,68864.12,70361.32,64080.56,67571.47,66610.56,64643.11,66688.23,64786.77,64327.75,64994.47,66683.49,61074.43,60127.9,61473.75,62485.23,66038.17,59842.57,62301.83,60186.22,155214.5,157294.4,147452,134176,125833.2,134092,130821.2,106422,109490.2,104181,97990.2,87587.48,91355.11,90633.7,84765.9,78077.33,78316.15,75040.68,75726.55,70262.89,64719.32,60006.65,60131.5
3,85.02796,435.884,39347.48,40378.69,40705.77,41078,40361.4,40202.75,41200.32,39198.35,43913.5,35931.75,38998.65,36351.34,37766.28,39863.95,37161.01,35663.61,35747.1,36578.34,37255.36,35169.23,36767.32,34417.62,34091.91,35004.64,33159.21,35563.74,35081.5,33313.76,33744.36,33509.97,35670.54,33240.61,33753.12,34387.18,34557.04,36586.63,36484.74,36342.84,33115.49,35315.4,33725.29,34646.76,35892.72,33582.04,36176.71,35654.26,37824.07,33981.43,34307.31,34638.79,40171.8,34909.36,35579.69,36455.52,33850.76,34721.83,33378.49,32757.24,35921.1,35083.56,33388.52,31599.25,32425.28,33977.85,34125.97,34441.06,32994.86,31752.27,32275.09,34660.31,35679.66,33428.43,34292.04,33270.82,34068.79,32359.61,32842.43,30430.49,33828.95,33635.88,35673.72,32486.32,31224.48,33231.6,32722.89,31920,33686.8,35567.7,32740.62,33378.03,33116.51,33240.2,33277.52,34448.69,34536.77,34213.79,31394.59,33397.93,31138.7,31949.72,31198.21,30628.91,31466.18,31109.61,33919.89,30384.21,31904.08,31244.05,31379.75,33161.54,30954.07,31308.27,34066.02,31713.31,33714.02,31674.45,33516.99,32461.51,33428.14,33520.06,32450.3,30088.71,33099.11,33298.34,31008.76,31288.69,33648.17,31099.49,31122.91,32665,32205.4,31247.8,31563.65,32575.97,31471.71,31483.54,29714.87,30651.61,31252.06,32476.36,30963.57,31001.29,30868.2,30809.4,31282.6,31613.17,29574.88,30065.96,29085.89,30340.92,32370.92,29639.73,29885.66,29335.57,42182.63,38494.04,36199.81,35701.75,33145.6,36259.32,36259.69,34822.9,33301.4,33936.37,36564.21,32478.28,33324.24,32860.91,32185.48,33583.27,34092.38,32245.62,31156.06,30755.54,32794.97,30048.38,28921.76
4,86.07103,240.986,172586.4,169093.5,173186.1,177013.2,169348.6,173559.9,171339.3,170233.3,173722.7,174612,179198.8,171791.3,170659.1,161428.3,171320.2,163073.9,164112.6,168320.1,182775.4,167579.4,159282.4,163149.8,160863.4,167232.6,162290.7,158013.7,154639.2,181330.7,154703.8,153713.7,150908.2,157042.5,177284.4,156754.4,167522.7,160838.2,168390,160234.7,150142.6,160561.2,158775.1,155812.9,165216.2,152442.7,175325.6,162731.4,160765.4,153108.5,181203.7,156028.5,154547,153577.6,163568.1,158856.1,155611.3,166755.6,156075,156100.6,154772.2,150772.3,157155.3,152637.1,147472.9,163681.3,156873,149698,155334.7,158981.5,151997.7,159731.2,164735.9,158961.8,158703.8,154267.7,162908,152506.7,152366.6,158529.4,156031.5,160833.8,158411.1,156582.7,154758.1,143700.9,138845.8,142075,149676,148384.9,150889,164338.7,147907.9,144557.7,174730.2,158670.8,155506.5,158735.7,159883.3,151012.1,153837.5,139794,146667.3,153297.1,139219.3,137997.4,141890.5,138032.4,140452.3,140763.9,144059.2,146668.1,146440,145368.5,150529.3,147089.1,147000,143760.8,148314.4,146966.1,145071.5,143748.4,140838.3,149381,147020.7,145129.6,137331.2,142605.6,143832.7,136467,142711.1,141574.1,144562.7,143490.3,154460.5,144406.5,144228.7,140933.9,132913.9,135995.5,135805.6,133449.7,138181.9,150016.5,136945.8,135495.4,137514.8,141771.7,140420.6,151174.5,140359.1,141851.9,146673.8,137883.6,142843.4,153211.2,174746.5,166427.5,171377.9,160315,152272.1,162401.9,153815.8,168809.1,153810.2,154828.8,166472,150025.1,156611.5,159765.3,145342.8,141595.1,147800.1,144942.9,140603.7,144217.9,142223.7,138431.8,135227
5,104.07014,417.792,84064.91,102886.4,89647.29,95198.7,86546.9,81341.68,81826.35,79536.46,74755.16,76325.78,77739.72,79997.77,77856.67,109035.7,78973.41,72237.02,72090.88,85281.15,79193.43,74076.48,74443.4,83169.73,69865.19,65314.09,69713.28,92853.44,68218.87,69368.29,69875.51,71100.46,70117.33,70157.96,67662.03,66770.36,66043.3,73423.31,64909.5,88526.81,66799.66,76016.97,65390.74,64475.75,64640.91,61932.04,65418.76,64257.78,61142.2,63481.45,64376.6,61430.03,91005.34,65478.85,67763.34,67703.19,66547.16,64445.18,67424.24,60993.59,61323.02,65673.08,61016.94,58400.88,59952.64,65949.32,62014.45,61838.85,58838.81,55095.12,57233.96,55600.45,60977.91,66098.88,64027.12,66549.81,72174.08,59345.82,58991.27,54222.36,54297.06,56774.1,54653.38,54526.78,55021.35,53319.91,51658.75,55534.97,52710.78,73152.7,51819.26,52492.44,55153.43,63160.24,58454.38,55330.61,59723.15,54372.67,56211.88,53278.53,53922.74,53287.11,54380.27,53919.14,54912.66,56033.24,54583.93,63242.75,60495.16,58945.93,58861.18,60418.82,53775.49,50739.98,73957.38,46703.84,48088.24,46845.97,49758.61,49763.95,51131.75,58514.63,57885.82,54713.23,62757.99,60228.17,56229.85,52554.5,61105.89,53509.98,53849.4,51826.41,52857.06,51109.53,51131.41,52409.33,53243.55,52057.99,54114.63,50651.24,52341.24,50990.37,53455.6,53068.93,50434.64,49144.16,51175.53,50678.88,49147.8,48348.83,50393.9,51104.74,75689.35,42565.92,42532.41,40465.31,104626.8,77539.47,78756.58,71194.05,68859.18,69706.71,66432.56,63504.62,62928.07,81046.95,61709.59,60407.26,54842.8,58158.92,52099.52,62746.23,54766.07,50709.34,55143.07,53069.22,54495.23,50552.71,41610.98
6,104.99215,729.739,261829.5,516845.6,487036,243869.5,285061.9,298347.8,276794.2,372112.9,541420.4,541482.1,325340.5,309076.8,336440.1,470668.2,373392.6,412398.3,364296.7,387086,438854.3,616941.5,590089.1,424249.7,461825.4,426667.9,425625,509009,528998.3,452276.4,505413.5,487230.6,504879.7,528397.4,514740.3,527838.2,545091.7,507441.2,475270.2,545240.3,540967.1,580751.9,513523.6,546703.5,581676.8,591246.1,607352.2,632469.9,617682.3,576488.7,626415.7,638172.4,650878.8,618790.1,553931.4,614443,592889,633079.7,614470.5,605856,598673.1,602311.6,636195.1,561051.6,576835.8,623838,624249.1,540976.8,522940.3,522360.1,517270.6,844288.3,477592.5,488171.8,574414,543442.1,593832.5,530439.5,516979.8,501131,494326,483506.2,479815.5,488648.2,477586.3,461862.2,464020.7,468671.6,426583.9,449657.7,481275.9,471195.7,496981.2,448851.9,503724.4,479049.7,457171,445082.6,434227.7,421220.3,441702.6,399104.6,432653.9,425970,505351.8,412330.2,420802.5,418263.9,376835.8,371965,417251.3,396280.9,362581.4,369596,412757.3,393237.6,388019.4,354796.3,388523.7,358726.7,375527.3,374888.4,363703.4,540755.1,375368.5,347396.5,360326.5,330698.1,327171.7,337955.9,367183.8,342806.5,328345.5,337688.6,310556.4,317864.7,343788.8,304659.2,374173.8,283758.3,313844.1,332206.1,310792.6,295531.7,308589.4,285325.2,272322.3,324657.5,296081.1,261294.1,256710.9,277722.4,305483.2,278010.3,248000.7,235144.3,530059.6,384550.9,355183.8,629222.5,458856,503758.8,492920.5,562611.1,671770.5,674011.4,572808.8,494865.5,490957.2,504183.7,436948.2,342337.6,473363.5,351293.4,350781.9,304167,254485,260325.5,243050
7,108.04393,108.15,42684.39,53663.51,46090.13,45411.81,48392.46,50372.62,51608.77,42331.34,49618.91,54344.21,39232.33,49971.35,47545.07,38095.95,47789.71,39695.98,42415.85,47572.23,47479.01,40046.84,38343.16,31908.91,34585.85,38925.73,42839.96,37975.89,36962.11,33194.82,35793.44,33358.18,39269.63,40348.42,37911.05,46057.18,38758.27,36907.38,39789.85,33996.28,44237.77,33935.51,34573.12,44408.63,34660.78,40452.21,40551.36,37105.89,40695.4,37103.06,33829.85,37106.26,33214.1,37680.92,40684.92,38940.14,34530.83,39395.2,37742.08,37115.29,36223.81,36619.1,39701.15,38928.91,38027.16,34621.68,39912.91,38547.97,40927.12,39114.21,38084.96,38971.92,37637.4,39517.54,38272.35,39502.66,38362.38,48386.39,37327.68,35691.19,40266.16,43207.53,40388.03,39025.2,39421.73,38876.67,39354.88,36725.03,38101.95,34444.29,35488.67,34853.25,36729.67,38334.8,38502.87,39644.24,37471.48,40046.73,34047.91,33847.3,33846.37,35848.06,32089.3,34792.55,36849.52,33477.7,31448.31,31319.57,34612.33,35143.98,32307.09,34213.13,32866.42,34466.9,33439.27,34239.64,37398.34,34857.21,33468.35,34814.07,34737.03,36169.05,33372,31344.54,37021.73,32863.79,35007.87,34235.54,35758.97,32383.3,34025.36,33772.67,32625.91,36197.76,36563.44,33832.54,29376.88,33462.07,34517.21,34583.84,28116.37,29988.61,31931.32,34906.69,30945.04,33371.81,34681.99,31341.34,31468.2,33388.88,40285.22,33212.87,31119.99,35700.61,34590.3,32680.72,51010.74,52257.76,46446.28,46952.55,37529.06,38511.6,38520.28,38707.02,36318.25,32827.2,42732.64,37984.83,33150.4,39495.18,37987.67,36963.23,32598.33,31808.45,32775.45,31051.42,37685.47,32545.9,33573.25
8,109.07536,444.9045,42266.28,37119.79,39223.4,41271.61,27907.97,40400.53,40308.31,41491.01,42232.79,28657.93,30754.9,30888.75,31117.2,29771.12,32203.82,31141.39,32030.58,29724.88,31867.02,32118.16,39082.95,33316.89,30651.84,30972.4,32749.59,31732.79,32066.96,31937.2,30713.16,31537.59,30184.21,32013.25,30550.31,33022.71,32550.93,33233.51,30556.78,30498.13,30389.74,31580.66,30659.8,29511.59,29316.75,29354.06,32007.41,32881.31,32222.68,39686.58,32530.69,33289.25,32504.61,32555.56,28821.39,32101.13,38967.02,30360.36,30184.72,30410.71,31498.04,30174.38,30918.52,38720.72,29814.24,32898.61,32235.53,32350.31,30859.94,31426.92,32459.96,32434.68,35049.87,35342.52,43164.13,41433.94,32427.54,32163.22,39708.8,38625.77,33629.05,34417.45,33393.8,32318.75,30359.24,38501.67,35937.75,38989.27,31974.25,28018.98,27631.08,30565.68,30279.71,31108.25,29288.48,32070.72,32097.16,40981.41,29265.52,28489.34,27134.93,28426.05,26581.62,25626.91,36251.46,34910.71,27904,24645.81,25188.57,26695.24,24054.51,24770.68,24899.35,25760.53,26129.49,22496,23333.5,24151.73,21325.96,21863.77,22729.81,28378.29,20881.92,19056.62,25450.64,27247.48,27843.68,28105.19,28397.61,27563.43,27702.57,16547.59,27130.79,26292.8,37389.94,25384.63,37190.9,22797.01,36579.33,38662.64,20438.83,22089.9,19220.39,19572.09,19314.18,21738.81,17783.63,17925.33,17118.23,16891.75,15652.6,15250.16,14065.92,15254.35,13968.08,14195.23,28524.92,29500.2,31613.48,30394.06,29404.33,28733.53,29413.92,39056.4,30688.45,30565.68,32864.08,32161.63,40009.72,29725.07,27739.96,21832.38,24466.29,19354.24,27609.1,25469.95,16895.93,17181.18,13565.88
9,110.0596,73.721,20842.71,24672.52,23699.85,23558.01,21109.9,22819.78,23369.02,21155.54,22953.29,23027.85,20715.68,21842.76,22834.23,21659.19,23596.62,21166.19,21148.84,21567.3,20248.81,21255.77,20161.13,23166.32,19422.86,21564.27,19453.01,23217.64,19164.36,20661.94,19272.04,28593.36,21483.17,19954.77,21969.33,20853.26,21839.5,21679.92,29266.91,21250.37,20589.23,21211.7,28005.2,20721.65,22933.58,20007.58,22504.6,20485.81,22255.87,21770.85,21984.89,21567.44,22707.65,21648.22,24224.41,22439.44,23050.47,22851.9,21617.56,22274.81,23136.8,21773.38,21947.68,21963.19,21474.46,23965.21,23082.66,22194.6,22673.83,22649.45,22410.62,21801.36,23042.97,22203.59,23930.41,22650.43,22803.65,22555.96,23091.58,22807.78,24105.77,23742.59,22919.62,21349.94,22311.63,21682.24,22221.7,20034.71,21186.21,22316.57,19704.82,20956.24,20947.28,20136.66,20919.11,21195.83,21507.14,21157.22,22283,21458.77,19590.72,19466.39,20332.94,19688.81,18898.02,19495.64,20136.09,18726.6,19363.18,19765.54,19496.06,20020.47,18824.06,19763.15,21027.21,18842.17,21000.53,20116.67,20252.17,18652.62,18119.79,19305.65,20006.06,19090.65,21674.54,19914.71,19349.79,17783.14,19005.83,18948.72,19787.5,19758.95,19127.89,19215.22,19436.44,19178.29,19085.09,19348.77,17826.07,17486.17,18698.71,25756.28,18762.78,17996.44,17468.5,17424.39,17961.67,18315.75,17811.92,18733.83,18222.2,17546.97,20655.26,18781.99,18944.83,17412.3,23871.68,22809.79,20721.85,20846.86,21185.68,23082.66,20299.83,21659.08,22375.53,23758.65,25560.16,22901.2,23511.62,20442.64,20297.08,21508.39,20628.56,19573.19,18868.3,19430.29,20297.8,18000.51,17807.33
10,110.07129,488.708,448439.9,101404.7,102353.2,93752.96,85245.52,83871.08,83734.04,91181.81,97272.73,94804.5,97413.61,108414.2,423740.1,457189.7,458808.7,120018.2,116764.8,427290.6,119831.6,119883.2,127750.4,133680.6,119375.7,141194.7,122187.3,128121,138809.7,136833.5,127210.8,418122.1,132457.7,132819.5,150459.1,147686.1,153951.7,185523.9,462905.5,440974.9,440421.5,183936.2,187618.1,183112,184403.8,170802,149024.7,137812.8,170242.1,165118.8,168719.1,323645.5,158200.8,154206.3,78746.61,455838.3,173509.6,125053.6,149348.9,166525.2,186724.4,136238.7,140780.4,139710.9,103165.4,400671.1,405652.1,69905.51,474146.1,94711.15,481450.9,367005.2,440717.5,400461.1,408620,437424.4,502913.4,429613,355436.2,410158.5,438893.4,385141.2,414909.6,400062.8,397321.6,430843.4,408596.8,416097.9,450398.2,507605.1,463827.6,524387.9,437104.1,461470.4,402858.7,508368.5,407609.3,522833.5,394068.5,436959.5,504661.8,427535.4,509900,510196.7,520187.4,528286,532206.4,496418.4,504362.3,487673.2,505433.3,519375.3,519212.6,520305.8,534072.8,548141.5,546318.5,542032,534847.2,536567.4,537667.8,533335.8,540297.8,387516.3,511304.5,517115,536213.6,542650.5,555842.1,532985.9,540743.6,545328.3,533236.2,543017.5,547364.9,539893.7,544117.6,546980,527195.8,510464.2,535610.7,536579.5,532276.1,535996,526393.5,518199.5,537414.2,533805.8,505513.9,475978.7,499302.2,502069.9,502214,507749.5,515276.7,509053.3,118876.4,92049.74,108506.5,134404,146296.8,435310.4,182318.6,163091.7,161351.4,463297.6,421941.2,375374.1,438686.7,459919.5,435706,492194.8,532460.1,378379.6,539062.8,532582.3,498233.8,479142.3,482790.1
11,112.05,214.089,80452.62,74979,74661.75,75402.7,71289.69,71169.42,71382.35,68067.12,70623.38,67744.38,67157.34,69583.95,69933.94,59911.38,68650.34,66679.38,67203.74,74225.49,66232.35,65119.03,65211.13,62857.47,63879.03,62894.78,62542.06,56746.25,62422.84,62608.47,60842.42,61591.64,60606.26,60274.85,58514.07,59407.44,60083.04,60310.7,61088.2,51630.5,54927.06,55290.81,54695.37,53983.14,53921.5,54941.69,64592.57,63239.41,94563.48,64319.65,63511.12,61535.1,58889.54,61833.4,70921.85,62432.07,62960.85,60791.13,59905.72,59580.71,59732.66,59625.11,61135.9,58296.46,57515.84,61259.25,58712.32,59804.49,57229.98,56290.65,57666.26,56774.54,62902.58,62404.04,63682.73,62983.22,62696.63,57574.62,59360,57068.25,60863.45,60678.82,60970.18,61219.3,60505.68,58271.78,54180.4,55290.07,56234.6,56088.84,58002.78,51931.28,54471.02,55153.46,57155.26,58313.83,57618.05,57207.91,57075.72,54423.32,51375.32,51276.36,50965.2,52134.51,51011.37,52713.67,51026.22,54959.65,55080.03,53974.66,53985.72,54420.62,53352.24,52689.14,50231.03,50605.07,51608.01,52720.63,52896.54,50165.51,48476.36,49108.53,50751.17,51419.42,58605.5,52688.7,50328.7,49740.81,49629.85,50126.16,49176.61,50133.56,50202.01,50798.47,51560.17,50751.86,50601.36,50730.88,51996.59,51801.6,52820.05,51635.37,52632.81,51504.65,51353.93,50729.24,53249.99,51905.65,53087.8,51146.57,51039.22,51230.05,49480.96,50040.22,50816.92,49241.98,73214.53,71506.25,67385.47,64658.5,61160.1,71485.88,54600.54,61354.47,60734.88,53113.58,73493.75,90936.69,58453.14,56327.36,49811.74,59934.82,50602.01,52519.28,51259.95,50347.87,59726.62,51998.14,50636.78
12,114.06629,240.987,19887430,18019380,15288710,18463880,17062390,15798230,16699360,15862860,15523290,14720610,14450380,14625430,16638230,17059620,15059250,15134080,16850120,16966860,16494530,16359500,17196150,15382120,16020180,16074910,16181660,16264060,15707750,16637460,15629440,16448600,15955630,15105990,18509880,14801050,14591810,14633150,14284660,14222150,15794760,13336630,13603400,14047390,14418050,14678860,15782450,15668290,14809480,16437780,16562600,16081680,16623650,17441100,16340280,17322550,16590210,16163730,17449240,16245220,15821830,16092060,15728850,15199860,15292050,16240950,17160040,15612670,14685070,13851400,13880450,14417230,14044300,15818260,17633070,16469900,16308730,15530380,15916080,15534480,14009160,13753680,14492040,15799240,15925580,15478980,12972330,12958430,13788970,13781720,14044700,14079940,13557930,15591960,17418430,15191860,14542180,13438610,13607030,13505490,15287960,14623670,14333710,14550130,14175870,14427520,13788650,14962800,14499540,13672460,13979020,13624450,12854950,13115630,12853180,13000380,13199660,12529360,13506920,13767030,13814030,13335380,13357770,14544840,13433180,13871050,14293190,12909440,13418930,15665060,13849370,14162950,14527110,13947770,13063670,13903160,14788420,14224330,14386570,14515010,14669570,15697460,14466020,14240040,14395060,14470910,14052510,14355950,14415580,14416700,14157880,13733750,14953460,14187030,13685140,12673310,18218330,16617460,14353240,16035110,15725640,16532030,13193250,15498850,15839750,15363260,15441260,15688100,15296960,15484010,13466200,14894610,12504030,12828750,14404160,14235370,14508080,14618210,14212070
13,114.09119,72.324,36367.91,41546.64,41083.46,42456.26,39618.99,42547.11,44989.44,47365.09,50521.42,51403.5,52642.26,58356.79,61602.96,57395.34,73409.49,73596.35,72814.7,76755,77726.88,80434.78,78908.62,88963.43,82658.76,89924.3,88025.26,84562.88,89100.37,94374.86,98647.6,104491.8,105270.8,105168.8,110528.9,113655.5,118946.8,122697.4,126034.5,115021.2,122512.5,127877.7,130703.2,135060.4,141343.5,135247.7,34547.41,31705.22,35611.66,36184.79,36260.18,38925.52,37634.02,45399.93,51601.6,50999.79,49313.39,50896.69,51977.17,53182.35,56811.34,57096.93,59385.69,60359.66,60501.2,70509.5,72343.83,72067.67,76644.18,78354.62,81925.09,82337.85,98278.04,99537.82,99235.06,100757.5,102492.6,106093.4,103286,116716.7,121889.4,123110.6,122345,120779.6,123287,124574.7,127397.1,122466.9,132055.6,115766.4,122203.8,128199.1,133131.6,134602.9,135555.6,133137.1,135467.2,136872.1,141828.5,145240.9,144740.7,143950.5,150826.6,148070.4,143830.7,156212.8,155136,153019.7,151981,151108.4,146060.3,154171.9,154009.4,170845.6,149483.5,163143.3,169918.2,162439.8,166204.7,163912.6,160958.9,169295,173928.6,168647.6,182741.5,175288.3,172620.2,172200.3,181198.1,180094,185393.4,187986.9,184253.4,189107.9,191571.8,190740.1,192883,195087.9,186159.8,189124.4,188710,199728.2,204556.2,197743.7,201837.9,199755.7,206873.7,212627.4,217447.2,217511.2,222130.7,227230.7,210415.1,229563.3,235905.2,219663.6,34545.35,45364.35,68144.18,82020.03,98283.8,128519.4,132076,41671.65,51807.93,59079.98,99116.51,111723.8,130020.5,130895,142188.6,166005.9,164320.1,168943.5,177311.2,189219.8,212163.1,211336.5,226810.6
14,116.07053,141.2905,687335.1,627956.6,563255.8,647885.7,590627,693960.1,688126.9,533046,584601.2,606950.2,528713.5,632038.4,711575.7,730438.9,581081.2,599992.6,645727.5,664760.1,657583.3,685602.6,679029.2,635353.3,600990.6,656317.7,561185.8,606771.6,561537.6,597140.8,548588.8,621391.5,654745.5,604530.5,631864.6,605464,560754.7,545580.6,593614.7,524619.4,555867.9,549354.9,533135.7,550378.5,537129.2,547976,576528.4,641086.2,576236.1,604700.9,633182.2,600803.7,635623.8,615251.6,636923.3,667428.2,706161.7,672357,670514.8,599342.8,619648.5,645080.4,590680.5,604959.7,593136.3,630791,642083.1,664941.6,602014.4,626278.2,565150,531262.5,616246.2,643098.3,704073.1,719369.2,718510.2,715705,730532.4,590613.8,643662.4,607456.5,622550.4,559586.5,615010.2,603842,596136.3,492357,526536.4,552325.8,610089.8,552594.5,598158.1,622718.9,601948.2,620399.4,595821.1,604618.3,581946.6,520063.7,565675.4,533311.7,570060,592074.7,561733.2,547436.5,526257.2,560012.7,613884.7,583811.5,518494.9,565390.1,486379.6,529309.8,483623.2,489694.4,527150.9,548236.5,528258,511691.4,559045.8,561940.8,561007.4,581760.4,567767.5,505447.4,488891.6,488605.1,536418,589305.7,530520.5,561370.9,519512.2,473915.9,523080.9,548099.3,547237.1,602819.8,512888.6,527688.6,549587.7,473289,569222.9,533393,571345.2,535300.1,549381.2,538944.3,551753.1,583898.6,529358.1,516673.2,450815.4,532951.3,507241.6,534131.2,680222.1,638470.3,527826.6,647120.5,704174,655000.3,514556.3,643948.6,601822.8,610084.2,651586.7,623031.3,558479.7,529579.9,532308.7,579459.1,542749,541864.5,539082.8,533317.7,532942,521564.9,509210.5
15,118.08627,396.933,992095.3,1060534,915368.9,1012221,1002479,996392.9,987147.2,900621.6,914756.1,907700.8,910958.7,1009719,971988.4,1145479,924237.6,937548.1,1006531,1043497,1018632,964899.5,987017.8,1042495,988304.3,928325.6,1028138,1124703,1040894,1022285,1020554,1054885,1068993,1034041,1021260,1047562,1056006,1088186,1036207,1095920,1055600,1051121,1033244,1029366,1089669,1084230,1095485,1184917,1148363,1132604,1170806,1119853,1274625,1133646,1196575,1148073,1191229,1184917,1252005,1170757,1171428,1239416,1189750,1168859,1161542,1230376,1234393,1220556,1212128,1083807,1157090,1092312,1235421,1350124,1348531,1388761,1373522,1312496,1311224,1252448,1215768,1285395,1270597,1339126,1335773,1322074,1148478,1268433,1288228,1145045,1228753,1166515,1201617,1390467,1393555,1346678,1360558,1329521,1303619,1232673,1224582,1301594,1306914,1299951,1289144,1333552,1356850,1414839,1356080,1349969,1320191,1297212,1237669,1208681,1308970,1204134,1268121,1198064,1185551,1290749,1322870,1275625,1245844,1275763,1284244,1300359,1282729,1207164,1320949,1293658,1279574,1267126,1304608,1167054,1276894,1290742,1283208,1232561,1310859,1283742,1282860,1299708,1300946,1225664,1284974,1237186,1275652,1245943,1249573,1260817,1261448,1259725,1425020,1250276,1205612,1286070,1109803,972222.6,939007.9,998316.2,1004713,1131681,1055661,1137325,1198385,1249687,1268678,1227462,1222037,1308810,1211346,1269164,1169153,1243866,1234022,1302624,1284355,1242016,1217422
